Title,CDP definition,Priority,C40 (matched list),Adaption/Mitigation,Category 1,Category 2,Explainer for action card,Quantification,What type of Q ,Scale,Implementation Period,Cost of action ,Climate hazards adressed,Emissions Source Category,Extent,Air Quality,Human Health,Water Quality,Urban Greenspace,Ecosystems ,Long-Term Employment,Income and Poverty,Housing,Mobility,Energy,Waste Management,Water and Sanitation,Notes VM,Responsible
Water Recycling,Water recycling/reclamation,Y,3,Adaptation,Technological actions,,"""Water Recycling"" or reclamation involves technological actions to treat and reuse water resources. This adaptation measure contributes to water resource sustainability and resilience, particularly in the context of changing climate patterns.",No,,Citywide,<5 years,High cost,Drought,,,Neutral,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Positive,"Somehwat positive in energy, as the recycling/savings categories can help reduce the amount of energy used for water collecting",SJE
Green Infrastructure,Green infrastructure,Y,7,Adaptation,Ecosystem-based actions,,,No,,,,,,,,,,,,,,,,,,,,,SJE
Watershed Preservation,Watershed preservation,Y,3,Adaptation,Ecosystem-based actions,Eco-engineering,"""Watershed Preservation"" involves the protection and conservation of natural watershed areas to safeguard water quality, biodiversity, and ecosystem services. This initiative aims to ensure sustainable water management and resilience to the impacts of climate change.",No,,Citywide,<5 years,Low cost,Drought,,,Neutral,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Food Redistribution,Food donation and redistribution of food surplus,Y,21,Adaptation,Services actions,,"""Food Redistribution"" programs focus on minimizing food waste by redirecting surplus food to those in need. This initiative contributes to sustainable food systems, reduces environmental impact, and addresses issues of food insecurity within the community.",No,,Citywide,<5 years,Low cost,,,,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Preparedness,Public preparedness (including exercises/drills),Y,6,Adaptation,Educational/Informational actions,,"""Preparedness"" refers to comprehensive planning and readiness measures to anticipate and respond to the impacts of climate-related events. This strategy ensures that communities are equipped to handle emergencies and enhance overall resilience",No,,Citywide,5-10 years,Low cost,Storm,,,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Early Warning,Early warning and response systems,Y,6,Adaptation,Educational/Informational actions,Technological actions,"""Early Warning"" systems involve the timely detection and communication of potential climate-related hazards, enabling proactive responses to mitigate risks. This initiative enhances community preparedness and reduces the impact of adverse events.",No,,Regional/state/national,5-10 years,High cost,Storm,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Managed Retreat,Managed retreat/planned relocation,Y,6,Adaptation,Behavioural actions,,"""Managed Retreat"" strategies involve planned relocation away from high-risk areas vulnerable to climate change impacts. This adaptation measure aims to protect communities from sea-level rise, flooding, and other environmental risks.",No,,Citywide,<5 years,High cost,Storm,,,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Non-Potable Water,Use of non-potable water,Y,3,Adaptation,Behavioural actions,,"""Non-Potable Water"" initiatives involve the use of treated or untreated water for non-drinking purposes such as irrigation, industrial processes, or flushing. This water conservation strategy reduces the demand on potable water sources and promotes sustainable water management.",No,,Citywide,<5 years,Low cost,,,,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,,SJE
Water Tariffs,Water tariffs,Y,4,Adaptation,Economic actions,Government policies and programs actions,"""Water Tariffs"" involve pricing structures for water use, encouraging conservation and efficient use of water resources. This initiative aims to promote responsible water consumption and contribute to sustainable water management.",No,,Regional/state/national,5-10 years,Low cost,Drought,,,Neutral,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,,SJE
Local Food Support,"Financial support to expand local food production (including urban agriculture programs, community gardens, etc.)",Y,20,Adaptation,Economic actions,,"""Local Food Support"" programs promote the production and consumption of locally sourced foods. This initiative enhances food security, reduces the carbon footprint associated with food transportation, and supports local agricultural economies.",No,,Neighborhood,<5 years,Medium cost,,,,Neutral,Somewhat Positive,Neutral,Somewhat Positive,Neutral,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Market Access,Financial support to improve market access for local food producers,Y,20,Adaptation,Economic actions,,"""Market Access"" initiatives aim to remove barriers that hinder farmers' access to markets, promoting equitable opportunities for agricultural producers. This strategy enhances food security, fosters economic development, and supports sustainable food systems.",No,,Citywide,<5 years,Low cost,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Food Access Laws,"Land zoning laws to increase local food access (including grocery stores, farmers markets, community gardens, etc.)",Y,20,Adaptation,Laws and regulations actions,,"""Food Access Laws"" involve legislation and policies that ensure equitable access to healthy and affordable food options. This initiative addresses food justice issues and promotes community well-being through improved food access.",No,,Regional/state/national,<5 years,Low cost,,,,Neutral,Somewhat Positive,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Efficiency Rules,Water efficiency regulations or standards,Y,4,Adaptation,Laws and regulations actions,,"""Efficiency Rules"" encompass regulations and standards aimed at improving resource use and reducing waste in various sectors. This initiative contributes to overall resource efficiency, environmental sustainability, and climate mitigation.",No,,Regional/state/national,5-10 years,Low cost,Drought,,,Neutral,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,,SJE
Air Quality ,Air quality initiatives,Y,8,Adaptation,Government policies and programs actions,Government policies and programs actions,"""Air Quality"" initiatives focus on monitoring, regulating, and improving air quality to mitigate the impact of pollution on public health and the environment. This strategy contributes to creating healthier urban environments and addressing climate-related health risks.",No,,Citywide,<5 years,High cost,,,,Very Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Dietary Shift Promotion,"Public policies to encourage citizen dietary shift to sustainable, healthy diets (including incentivizing purchase of low-carbon foods, plant-based or alternative proteins)",Y,19,Adaptation,Government policies and programs actions,,"""Dietary Shift Promotion"" involves campaigns and policies to encourage healthier and more sustainable dietary choices. This initiative aims to reduce the environmental impact of food systems and promote climate-friendly eating habits.",No,,Citywide,<5 years,Low cost,,,,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Food Procurement,"Municipal/jurisdictional food procurement policies that align with guidelines for sustainable, healthy diets (including school procurement, etc.)",Y,18,Adaptation,Government policies and programs actions,City Administration,"""Food Procurement"" strategies involve sourcing food for public institutions and services from sustainable and local producers. This initiative supports sustainable agriculture, reduces the carbon footprint of food supply chains, and promotes responsible consumption.",No,,Regional/state/national,5-10 years,Low cost,,,,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
City is implementing city-wide speed restrictions and a programme of physichal measures to tackle road danger,,Y,27,Mitigation,Transportation,Government policies and programs actions,"""City-wide Speed Restrictions and Road Danger Measures"" include the implementation of speed limits and physical measures to enhance road safety. This program aims to reduce traffic-related hazards, promote sustainable transportation, and improve overall urban safety.",No,,Citywide,,Low cost,,,,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Negative,Neutral,Neutral,Neutral,,SJE
Sustainable Cooking,City is implementing or incentivising a phase out of fossil fuel or solid fuel technologies for heating and cooking,Y,12,Mitigation,Stationary Energy,Government policies and programs actions,"""Sustainable Cooking"" initiatives encourage environmentally friendly cooking practices, including the use of energy-efficient appliances and sustainable cooking methods. This strategy promotes resource conservation and contributes to overall sustainability in food preparation.",No,,Citywide,5-10 years,Low cost,Stationary energy > Residential buildings,0-19%,0-19%,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
