name,description,emissions_reduction,risk_reduction,environment,population,cost,time_in_years
Property Rights (Easements),Utilize easements for protection,,Medium,,,"1,000,000",1
Water Restrictions,Enforce water use restrictions,,High,Arid,,"2,000,000",1
Efficiency Rules,Implement water efficiency regulations,,Medium,,,"2,500,000",2
Abstraction Control,Enforce water abstraction licenses,,Medium,,,"3,000,000",2
Disaster Laws,Enact laws for disaster risk reduction,,High,,,"2,000,000",1
Insurance Laws,Enact laws to encourage insurance,,Medium,,,"1,500,000",1
Protected Areas,Designate protected natural areas,,High,,,"10,000,000",5
Fishing Quotas,Implement fishing quotas,,High,Coastal,,"2,000,000",2
Tech Transfer,Promote technology transfer,,Medium,,,"5,000,000",3
Hazard Plans,Develop hazard-specific plans,,High,,,"4,000,000",2
Disaster Prep,Develop disaster preparedness programs,,High,,,"3,000,000",2
Adaptive Management,Implement adaptive management practices,,Medium,,,"2,000,000",2
Ecosystem Management,Practice ecosystem-based management,,High,,,"6,000,000",3
Forests Management,Implement sustainable forest management,,High,Forest,,"8,000,000",4
Community Adaptation,Promote community-based adaptation,,Medium,,,"3,000,000",2
Disease Prevention,Implement disease prevention measures,,High,,,"5,000,000",2
Air Quality Initiatives,Improve air quality,"50,000",Medium,Urban,,"10,000,000",4
Nutrition Policies,Improve nutrition through policies,,Medium,,,"2,000,000",2
Dietary Shift Promotion,Encourage dietary shifts via policies,"50,000",Low,,,"1,500,000",1
Food Procurement,Align procurement with healthy diets,"30,000",Low,,,"2,500,000",2
Sustainable Diets,Support sustainable food production,"40,000",Low,,,"3,000,000",2
City-Wide Speed Restrictions and Road Safety,Implement speed restrictions and safety measures,"20,000",Low,Urban,,"5,000,000",2
Sustainable Cooking,Phase out fossil fuel technologies for cooking,"100,000",Low,,,"7,000,000",3
