locode,osmid
US QHL,R126634
US QHM,R171257
US QHO,R125412
US QHP,N151802826
US QHR,R187655
US QHS,R188278
US QHT,R182777
US QHV,R126842
US QHW,R127833
US QHY,N154207544
US QIA,R128820
US QIC,R10994052
US QID,R137513
US QIE,R238004
US QIG,R119727
US QII,R251690
US QIL,R185274
US QIM,R109854
US QIR,R239998
US QIS,N150973394
US QIT,R6605109
US QIW,R129236
US QIY,R124811
US QJA,R135267
US QJB,N158823896
US QJC,R128806
US QJE,R188879
US QJM,R194121
US QJT,R188457
US QJU,R187200
US QJZ,R126837
US QKA,N157572740
US QKC,R140676
US QKF,R194949
US QKH,N151333298
US QKK,R128996
US QKL,R13775555
US QKM,R121197
US QKO,R182767
US QKS,N158580307
US QKT,N158808446
US QKV,R110633
US QKW,N153527397
US QKX,R11059526
US QL2,R135182
US QL3,R194109
US QLA,R111085
US QLB,R126723
US QLC,R194176
US QLD,R187635
US QLE,R117521
US QLF,R141141
US QLG,N158909459
US QLH,R181825
US QLI,R127029
US QLK,R130749
US QLL,N150959724
US QLM,R194873
US QLN,N158613766
US QLO,R170634
US QLP,R12623981
US QLR,R187347
US QLS,R904191
US QLT,R188651
US QLV,N151656969
US QLW,R132521
US QLY,N153706554
US QLZ,N141038766
US QM9,N151742082
US QMA,R188588
US QMB,N158242383
US QMC,N157638319
US QMD,R238649
US QME,R7149270
US QMF,R1216773
US QMG,R188747
US QMH,N150973503
US QMI,R182424
US QMJ,R170567
US QMK,R127615
US QML,R251451
US QMM,N153593282
US QMN,R7149473
US QMO,R3705571
US QMP,N157595977
US QMQ,R7149170
US QMR,R188564
US QMS,N154145368
US QMT,R181377
US QMU,R12008294
US QMV,R170651
US QMW,R238014
US QMX,N158860681
US QMZ,N157624711
US QN2,R135263
US QNA,R133731
US QNB,N157572928
US QNC,R237813
US QND,R175485
US QNE,N158868879
US QNF,R181949
US QNG,R239916
US QNH,R3506337
US QNI,R15617747
US QNL,R251845
US QNM,R118858
US QNN,R361315
US QNR,R129611
US QNS,R136831
US QNT,R8059688
US QNV,R207055
US QNW,N158228198
US QNX,R198792
US QNY,N151344537
US QOA,R187540
US QOB,R242800
US QOC,R5365367
US QOD,R110145
US QOG,R123032
US QOH,R3262886
US QOI,R6605111
US QOK,R123075
US QOL,R195794
US QOM,R7159897
US QON,R197204
US QOO,R8529995
US QOP,R123128
US QOR,R129198
US QOS,R3864705
US QOT,R6595927
US QOU,R130760
US QOV,R128753
US QOW,R130875
US QOX,R195185
US QOY,R6571640
US QP2,R184165
US QPA,R121344
US QPB,R119859
US QPC,R9215811
US QPD,R182002
US QPE,R306315
US QPG,R127317
US QPH,N153672982
US QPI,N154085399
US QPL,R112113
US QPM,R206928
US QPN,R175784
US QPO,R179799
US QPQ,R10857246
US QPR,N153515560
US QPS,R252209
US QPT,N151906330
US QPV,N153899224
US QPW,R2296284
US QPX,R6580401
US QPY,R3232436
US QPZ,R176317
US QQD,R1181615
US QQE,R240016
US QQF,R365505
US QQM,N151706529
US QQN,R131641
US QQQ,R119918
US QQR,R3734835
US QQX,R187905
US QQY,R137430
US QQZ,R188813
US QR5,N141042712
US QRA,R141679
US QRB,R127888
US QRC,R174422
US QRD,R130634
US QRE,N154333447
US QRG,R370096
US QRH,R181661
US QRI,R195731
US QRL,N158579724
US QRM,N158809870
US QRN,R142643
US QRP,R8890594
US QRQ,R182744
US QRR,R171158
US QRU,R128525
US QRY,R207026
US QS3,R119793
US QSA,N151705970
US QSB,R199070
US QSD,R1217251
US QSE,N154311734
US QSF,R175640
US QSG,R251571
US QSH,R1839567
US QSI,N154284268
US QSK,R2021559
US QSL,R185052
US QSN,N158872109
US QSO,N141030415
US QSP,N153606299
US QSQ,N158632577
US QSR,R13683643
US QST,R189079
US QSV,R197200
US QSW,N158854853
US QSY,R188871
US QSZ,N158569128
US QT2,N150951528
US QTA,R11180516
US QTB,R180278
US QTC,R6603665
US QTD,R134807
US QTE,R111516
US QTF,N150949842
US QTG,R6595935
US QTH,R251430
US QTI,R110133
US QTK,R3964734
US QTL,R141686
US QTM,R119547
US QTN,N151415684
US QTO,R126730
US QTP,N150939685
US QTR,R112653
US QTS,R7243979
US QTT,R169545
US QTU,R128492
US QTV,R140894
US QTW,N158583494
US QTX,R10151159
US QTY,N151680236
US QTZ,W33004723
US QUA,N150963564
US QUB,N151455477
US QUE,R133616
US QUG,R2023494
US QUI,N141044971
US QUK,N150977309
US QUL,R141145
US QUM,R13650918
US QUN,R184309
US QUO,R175533
US QUP,R119809
US QUQ,R119771
US QUR,R125917
US QUS,N158811073
US QUT,R6586810
US QUV,N150971642
US QUY,R134964
US QV2,N158372855
US QVA,R3567262
US QVD,R206962
US QVE,R182901
US QVG,N158846355
US QVI,N153973394
US QVJ,R127880
US QVL,R184820
US QVN,R15782293
US QVW,R123137
US QVY,R137766
US QVZ,N158650076
US QW2,N150953869
US QWA,R180391
US QWB,R182610
US QWD,R9228290
US QWE,R193860
US QWI,R8248893
US QWK,R137813
US QWL,N158901800
US QWM,R193835
US QWN,R128587
US QWO,R125685
US QWP,R1216861
US QWQ,R133699
US QWT,R130596
US QWU,N158472933
US QWW,N158259515
US QWY,R4640275
US QWZ,R14465966
US QXA,R140579
US QXB,R140552
US QXC,R197274
US QXO,N158226735
US QXW,R126916
US QXY,N158808883
US QXZ,R132834
US QYA,R8364456
US QYC,N158810168
US QYG,N154144687
US QYL,R14008885
US QYN,R182099
US QYS,R114711
US QYT,R142657
US QYV,N153710327
US QZA,R238255
US QZE,R125783
US QZF,R12189764
US QZG,R206933
US QZJ,R12189765
US QZK,R175823
US QZL,N150917257
US QZN,N158592664
US QZQ,R13608594
US QZY,N154345515
US R2C,W33124628
US R2E,R189200
US R2H,N153958535
US R2K,R185261
US R2M,R197152
US R2O,R126174
US R2R,N153944325
US R2S,R127441
US R2T,R251548
US R2U,R141149
US R2V,N158521098
US R33,R10105911
US R34,R4637870
US R3D,R8540209
US R3G,N151687341
US R3L,N150945484
US R3N,R137440
US R3O,R370355
US R3V,N151363506
US R3W,R184932
US R3Y,R119768
US R4B,R136838
US R4C,R169385
US R4D,R10115163
US R4L,R119719
US R4N,N153949503
US R4V,R242250
US R4Y,N154091034
US R55,N158281102
US R5B,N157560851
US R5C,R176312
US R5D,R175768
US R5E,R126954
US R5P,R126608
US R5V,R189001
US R5W,N151679085
US R63,N151964185
US R6T,R198809
US R6V,N158227496
US R79,R136770
US R7T,R197368
US R84,N158628429
US R88,R251789
US R8A,N153923168
US R8D,R132535
US R8G,R183338
US R8H,N150948702
US R8K,R130450
US R8L,R176310
US R8M,N154172431
US R8O,R170644
US R8R,R130708
US R8V,R10241095
US R8W,N158835199
US R99,N153623440
US R9C,R169625
US R9D,R129716
US R9E,R13830379
US R9H,N158632636
US R9L,R169692
US R9M,R121315
US R9O,N151928703
US R9S,R11051996
US R9T,R188002
US R9V,R171266
US R9W,R174431
US R9Y,R175570
US RA2,N153515210
US RA3,N141040458
US RA4,R13761720
US RA6,R126670
US RA7,R179729
US RA9,N158566235
US RAA,R111568
US RAB,R110391
US RAC,R251485
US RAD,N153456869
US RAE,R13578582
US RAF,R5424381
US RAG,R179052
US RAH,R170515
US RAI,R186784
US RAJ,R2793133
US RAK,R119662
US RAL,R11051996
US RAM,R141077
US RAN,R171277
US RAO,R251856
US RAP,R195005
US RAQ,R140554
US RAR,R188121
US RAS,R239960
US RAT,R170844
US RAU,R1217300
US RAV,R176363
US RAW,R242834
US RAX,R169237
US RAZ,R2314252
US RB2,R128973
US RB3,R188245
US RB4,N151725707
US RB5,N151375824
US RB6,N158264334
US RB7,R136693
US RB8,N151496996
US RB9,R13763919
US RBA,R130754
US RBB,R179718
US RBC,R117921
US RBD,R2314270
US RBE,R188480
US RBF,R253749
US RBG,R186345
US RBI,R121293
US RBK,R2866320
US RBL,R112211
US RBM,R115300
US RBN,R14590996
US RBO,N150966383
US RBP,R197144
US RBQ,W120754298
US RBR,R13817068
US RBS,R180014
US RBT,R251561
US RBU,R110118
US RBV,R961741
US RBW,R193978
US RBY,W32975829
US RBZ,R141407
US RC2,R179903
US RC3,R137235
US RC5,R4872254
US RC6,R182042
US RC7,R188511
US RC8,R124850
US RC9,R7150301
US RCA,R2395690
US RCB,R131706
US RCC,R119774
US RCD,R183445
US RCE,N150941378
US RCF,R134778
US RCG,R119815
US RCH,R114481
US RCI,R180213
US RCJ,R181692
US RCK,R8082796
US RCL,R119917
US RCM,R136713
US RCN,R134881
US RCO,R131950
US RCP,N158603634
US RCQ,R10067214
US RCR,R127570
US RCS,R2395856
US RCT,R134839
US RCU,R6411728
US RCV,R252703
US RCW,R238243
US RCX,R127092
US RCY,R135032
US RCZ,R134570
US RD2,R181569
US RD3,N150958377
US RD4,N150975754
US RD5,R251820
US RD6,N153413758
US RD7,N141030372
US RD8,R136893
US RD9,R198715
US RDA,N157562929
US RDB,N150918403
US RDC,R112455
US RDD,R112503
US RDE,R109872
US RDF,R134573
US RDG,R188481
US RDH,R2388232
US RDI,R1842127
US RDJ,R182220
US RDK,R128570
US RDL,R170558
US RDN,R135067
US RDO,R10986943
US RDP,R6612300
US RDQ,W88176631
US RDS,R251577
US RDT,N154055994
US RDV,N150919326
US RDW,R137374
US RDX,R10405883
US RDY,R110274
US RDZ,N151403432
US RE2,R194986
US RE3,R132066
US RE4,R182419
US RE9,R182857
US REA,N158863847
US REB,R1217257
US REC,R135126
US REE,R119993
US REF,N153883307
US REG,R126055
US REH,R380444
US REI,R251808
US REJ,R129576
US REK,R187695
US REL,R188130
US REM,N153510636
US REN,R170376
US REO,N150942160
US REP,R132799
US REQ,R182641
US RER,R174389
US RES,N158286039
US RET,R137776
US REU,N153575362
US REV,N158504869
US REW,R3232453
US REX,N154008740
US REY,R119937
US REZ,R2362362
US RF2,W32980568
US RF3,R11049762
US RF5,R253124
US RF8,R191194
US RFA,R185090
US RFB,N158859793
US RFD,R127020
US RFE,N157594800
US RFF,R184916
US RFG,R6587510
US RFH,R10073981
US RFI,R125735
US RFK,R14988909
US RFL,R13800650
US RFM,R132576
US RFN,R180118
US RFO,R182541
US RFP,R170635
US RFQ,R129241
US RFR,R8889891
US RFS,N1694984557
US RFT,R169397
US RFU,R176205
US RFV,N154217432
US RFW,R251340
US RFX,R140958
US RFY,R7163812
US RG2,R3282258
US RG3,R121307
US RG4,W38845106
US RG6,R123449
US RG7,R121409
US RG8,N151348476
US RG9,R238590
US RGA,R10342801
US RGB,R13640267
US RGC,R115425
US RGD,R119549
US RGE,R193946
US RGF,N158822271
US RGH,R4033662
US RGI,R130193
US RGJ,W420440314
US RGK,N154073737
US RGL,N158234930
US RGM,R179963
US RGN,R188915
US RGO,W325933623
US RGP,R6595878
US RGQ,R6584725
US RGR,R11842256
US RGT,R119539
US RGU,R186366
US RGV,R197322
US RGW,R135007
US RGY,R12184688
US RGZ,R133630
US RH2,N158300341
US RH3,N158246326
US RH5,N158826160
US RH6,N158866335
US RH7,R128992
US RH8,R1807450
US RHA,R14988939
US RHB,R14017107
US RHD,R12591614
US RHE,R119965
US RHG,R2866320
US RHI,R251816
US RHJ,R2314271
US RHK,R206859
US RHL,R175985
US RHM,R130839
US RHN,N157561740
US RHO,N158264300
US RHP,R185081
US RHQ,N151587448
US RHR,R187309
US RHS,R130332
US RHT,R195729
US RHU,R121253
US RHV,N154042040
US RHW,R11901035
US RHX,N151543198
US RHY,R187791
US RHZ,R137259
US RI3,R130142
US RI4,N158568032
US RI7,R188954
US RI9,N150965851
US RIA,R6700810
US RIC,R3864712
US RID,R127380
US RIE,R251775
US RIF,R198999
US RIH,R121308
US RII,R121437
US RIJ,R170719
US RIK,R119536
US RIL,R112263
US RIM,N154402012
US RIN,R6577487
US RIO,R126058
US RIP,R11052548
US RIQ,R10110031
US RIR,R186516
US RIS,R194005
US RIT,R251751
US RIU,R110703
US RIV,R179995
US RIW,R252261
US RIY,R6700449
US RIZ,R6584724
US RJA,R128541
US RJC,R179906
US RJD,R174919
US RJE,N151416847
US RJG,R242823
US RJH,N150970857
US RJI,R6571676
US RJJ,N150964832
US RJK,R119858
US RJL,R2777727
US RJM,R137442
US RJN,N158851858
US RJO,R188912
US RJQ,N151679701
US RJR,R128552
US RJS,R142667
US RJT,N158804457
US RJW,R124815
US RJX,N154212359
US RJZ,N157569718
US RK2,N151528080
US RK3,R129997
US RK7,N158810922
US RK9,R6603668
US RKA,R119635
US RKC,R7298033
US RKD,R132584
US RKE,R117655
US RKF,R6923561
US RKG,N154180956
US RKH,R194082
US RKI,R126021
US RKJ,R170550
US RKK,R175695
US RKL,R112620
US RKN,W33613830
US RKO,N158845062
US RKP,R6587514
US RKQ,R176098
US RKR,R185136
US RKS,R252245
US RKT,R127018
US RKU,R130543
US RKV,R133700
US RKW,R197176
US RKX,N150971852
US RKY,R182097
US RKZ,R2387200
US RL2,R137409
US RL3,R128783
US RL4,R175979
US RL5,N153530187
US RL6,N157588379
US RL8,R8540232
US RL9,N158566133
US RLA,R141325
US RLB,R170481
US RLC,R251082
US RLD,R237653
US RLE,R170511
US RLF,R237691
US RLG,R125991
US RLH,R136630
US RLI,N150933796
US RLJ,R142484
US RLK,R251940
US RLL,R125441
US RLM,R126609
US RLN,R188875
US RLO,R6581672
US RLP,N153663638
US RLQ,R129185
US RLR,R13654061
US RLS,R111825
US RLT,R237640
US RLU,N150921225
US RLV,R206612
US RLW,N158449110
US RLX,R141698
US RLY,R169745
US RLZ,N153514543
US RM2,N153644437
US RM3,N154350194
US RM4,R198797
US RM5,R130257
US RM8,R251580
US RM9,R126915
US RMA,R141412
US RMB,R137346
US RMD,R186775
US RME,R3669594
US RMF,R137714
US RMG,R119515
US RMH,R8897016
US RMI,R135091
US RMJ,R170665
US RML,R127407
US RMM,R136570
US RMN,R126057
US RMO,R135047
US RMP,N150920768
US RMQ,R198998
US RMR,N150944528
US RMS,R182089
US RMU,R134996
US RMV,R6587508
US RMW,R12032864
US RMX,R2023149
US RMY,N153469565
US RMZ,R12194324
US RN2,R110523
US RN4,N158916574
US RN6,R9225517
US RN7,R123106
US RN8,R206843
US RN9,R127442
US RNA,N158229433
US RNB,R112362
US RNC,R197151
US RND,N151952344
US RNE,R114871
US RNF,R130835
US RNG,R112181
US RNH,R251562
US RNI,R252232
US RNJ,R180325
US RNK,R131982
US RNL,R126126
US RNM,N153787720
US RNN,R13650895
US RNO,R170120
US RNP,R251801
US RNQ,R6571674
US RNR,R128807
US RNS,N158579060
US RNT,R237877
US RNU,R239924
US RNV,R6968506
US RNW,R142550
US RNX,N150965352
US RNY,R13800769
US RNZ,R127593
US RO3,R126251
US RO4,N154091222
US RO5,R169592
US RO6,N141034529
US RO7,N141029286
US RO8,R127507
US ROA,R206561
US ROB,R126080
US ROC,R176069
US ROD,R251916
US ROE,R122032
US ROF,R195750
US ROG,R111547
US ROH,R126317
US ROI,R125787
US ROJ,N158353796
US ROK,R5977019
US ROL,R198986
US ROM,N150974180
US RON,N158376731
US ROO,N150944110
US ROP,N158517555
US ROQ,R195717
US ROR,R370095
US ROS,R182441
US ROT,R239925
US ROU,R134603
US ROV,R206963
US ROW,R171201
US ROX,R137557
US ROY,R119485
US ROZ,N158875519
US RP3,R12194435
US RP4,N154201935
US RP5,R13599329
US RP8,R121384
US RPA,N153769939
US RPB,R180347
US RPC,N153965391
US RPD,R6603667
US RPE,R239868
US RPF,R128410
US RPG,R177499
US RPI,R9215797
US RPJ,R126608
US RPK,R187626
US RPL,R196027
US RPM,R7157517
US RPN,R251917
US RPO,R137723
US RPP,N150940810
US RPQ,N7304587912
US RPR,R238165
US RPS,R171519
US RPT,R121439
US RPU,R237655
US RPV,R119744
US RPW,R134520
US RPX,R142363
US RPY,R141802
US RPZ,R9100916
US RQA,N154372649
US RQB,R194711
US RQC,N158624917
US RQD,R8366576
US RQE,N151460494
US RQF,R176338
US RQG,R119438
US RQH,R180094
US RQJ,N158862874
US RQK,R8446130
US RQL,R181686
US RQO,R12770780
US RQP,R127756
US RQQ,R170654
US RQR,R12200095
US RQS,R130019
US RQT,R9228320
US RQV,R119490
US RQX,R125967
US RQY,N154178441
US RR2,R115446
US RR6,R10330988
US RR7,R137573
US RR8,W1038764159
US RR9,R240008
US RRA,R8540538
US RRB,R125939
US RRC,R171226
US RRD,R123416
US RRE,R206941
US RRF,N153442141
US RRH,R13708202
US RRI,R3669595
US RRJ,R134592
US RRK,R175808
US RRL,R251646
US RRM,R141146
US RRN,W33612736
US RRO,R180298
US RRP,R110205
US RRQ,N150953328
US RRR,R185047
US RRS,R188264
US RRT,R137559
US RRU,R119794
US RRW,N154100656
US RRX,R115318
US RRY,N150949332
US RRZ,R5837113
US RS2,R140674
US RS4,R183461
US RS5,R130734
US RS6,R6587600
US RS7,R179004
US RS8,R128577
US RS9,N2502493625
US RSA,N157643498
US RSB,R178964
US RSC,R186779
US RSD,N158805946
US RSE,R15339541
US RSF,R131728
US RSG,R6586814
US RSH,W32976337
US RSI,R5728807
US RSJ,N150959742
US RSK,R125693
US RSL,R129848
US RSM,R112975
US RSN,R131954
US RSO,R183399
US RSQ,R127017
US RSR,R180326
US RSS,R119398
US RST,R137100
US RSU,N150942451
US RSV,R134514
US RSW,N158273421
US RSX,R176180
US RSZ,R5608123
US RT2,R128909
US RT3,R192169
US RT6,R13734346
US RT7,R1844191
US RT8,R6587513
US RT9,W207085826
US RTA,R194719
US RTB,R131901
US RTC,R112442
US RTF,R194023
US RTG,R124766
US RTH,N150969211
US RTI,R119407
US RTJ,N150938019
US RTL,R128804
US RTM,N153994819
US RTN,R183135
US RTO,R111802
US RTP,N150935425
US RTS,R242828
US RTT,R182968
US RTU,R130256
US RTV,R206748
US RTW,R331940
US RTX,R8382049
US RTY,R185110
US RTZ,R119673
US RU2,R141245
US RU3,N158271870
US RU6,R3143378
US RU8,R2045473
US RU9,R141108
US RUA,R119579
US RUB,N154180682
US RUC,R125680
US RUD,R134958
US RUE,N153931765
US RUF,R137775
US RUG,N154357549
US RUH,R127718
US RUI,R171220
US RUJ,R1114671
US RUK,N158484427
US RUL,R8059621
US RUM,N151811182
US RUN,R133644
US RUO,R182405
US RUP,R129628
US RUQ,N153622189
US RUR,R179764
US RUS,R111594
US RUT,R199083
US RUV,R7463746
US RUW,R170374
US RUX,N158487781
US RUY,R194055
US RUZ,R9154648
US RV2,R192208
US RV3,R127486
US RV4,R170668
US RV5,N158842681
US RV6,R137570
US RV7,R192162
US RV8,N53142019
US RV9,N158267989
US RVA,R10996270
US RVB,N158859239
US RVC,R114484
US RVD,R169334
US RVE,R136616
US RVF,R180074
US RVG,N158349522
US RVI,R7163085
US RVJ,R170449
US RVK,R130817
US RVL,R133364
US RVM,N153520223
US RVN,R182792
US RVO,R123446
US RVP,R6595939
US RVQ,R127818
US RVR,R198926
US RVT,N158862216
US RVU,N3811807558
US RVW,R134601
US RVX,R2965389
US RVY,R132166
US RVZ,R141204
US RW2,R134597
US RW3,N151721293
US RW4,R117952
US RW7,R252294
US RW8,N2131546597
US RW9,R128792
US RWA,R903156
US RWB,N150921385
US RWC,R112309
US RWD,R170646
US RWE,R119569
US RWF,R137525
US RWG,R129253
US RWI,R179034
US RWJ,N141045206
US RWK,R131582
US RWL,R252277
US RWM,N151353406
US RWO,N154070915
US RWQ,R127326
US RWT,N368997929
US RWU,R189074
US RWV,N154209689
US RWW,R239869
US RWX,R181549
US RWZ,R8360651
US RXA,R130483
US RXB,R179975
US RXC,R130172
US RXD,R7539761
US RXE,N153921806
US RXF,R142559
US RXG,R127592
US RXH,R170659
US RXI,R183302
US RXJ,R194014
US RXK,R130114
US RXL,R126245
US RXM,R184212
US RXN,R169662
US RXO,N141027825
US RXR,R121261
US RXS,R123468
US RXT,R13831329
US RXU,W827070003
US RXV,N158351271
US RXW,R239973
US RXX,R181932
US RXY,R4033685
US RY2,R2379515
US RY3,R129209
US RY4,R198964
US RY6,R181437
US RY8,R198887
US RYA,N151345559
US RYB,N150936592
US RYC,R127560
US RYD,R140692
US RYE,R129915
US RYF,N153391777
US RYG,R182882
US RYH,R185125
US RYJ,R71241
US RYL,R131587
US RYM,R134546
US RYN,R174440
US RYO,R331918
US RYP,R3283265
US RYQ,R127835
US RYR,R134818
US RYS,R239850
US RYT,R4131949
US RYV,R187831
US RYW,R237685
US RYX,R113966
US RYY,R239874
US RYZ,N151520499
US RZA,R237723
US RZB,R136835
US RZC,R15902559
US RZD,R4033678
US RZE,R141763
US RZF,N151424361
US RZG,R251652
US RZH,R179771
US RZI,R14988992
US RZK,R6885849
US RZL,N150976415
US RZM,R126643
US RZN,N151596532
US RZO,R3694101
US RZP,R132119
US RZQ,R238261
US RZR,R128738
US RZS,W375185823
US RZT,R124849
US RZU,N151862928
US RZV,R237648
US RZW,N151800372
US RZX,R1949885
US RZY,N150954025
US RZZ,R180202
US S22,W33613102
US S23,R128831
US S24,R240085
US S25,R179021
US S29,R193928
US S2A,N158606837
US S2B,R178963
US S2C,R251915
US S2D,R182971
US S2E,N158349207
US S2F,R177397
US S2G,R125806
US S2H,R2342526
US S2J,R4468308
US S2K,R175988
US S2M,R121427
US S2N,R180379
US S2P,R127351
US S2R,R14989022
US S2S,R194717
US S2T,R197187
US S2U,N151783532
US S2Y,N157633466
US S3A,N158606837
US S3B,N151412094
US S3C,R182088
US S3D,N151432453
US S3F,R4664001
US S3G,N157558396
US S3H,N4768562504
US S3M,R197269
US S3O,R11162275
US S3P,R237266
US S3R,N154002532
US S3S,N2940944908
US S3T,R129834
US S3U,N151605804
US S3V,R137828
US S3W,R134963
US S3Y,N153479750
US S44,R186571
US S4D,R188509
US S4E,W33005154
US S4F,R129720
US S4H,R197287
US S4L,N9664667973
US S4M,N151472503
US S4N,N157634988
US S4O,R137342
US S4P,N153632917
US S4S,R170075
US S4T,R13894218
US S4V,N154326423
US S4W,R127636
US S4Y,N151896256
US S53,R129183
US S55,R169261
US S5A,R178946
US S5B,R132079
US S5C,R207028
US S5D,R191195
US S5E,R10132819
US S5F,N158229493
US S5G,R14988949
US S5K,R237878
US S5M,N151848264
US S5N,N158589469
US S5P,R170345
US S5R,R121370
US S5U,R13594205
US S5V,R194161
US S5W,N158803076
US S5Y,R181468
US S66,W33048761
US S67,R137852
US S6A,N158862254
US S6E,N150954716
US S6H,R183322
US S6K,R188636
US S6L,R135059
US S6O,R3666841
US S6S,R128963
US S6T,R198751
US S6Y,N151517491
US S73,N151834851
US S74,R180247
US S77,R188926
US S78,R8024810
US S7A,R121395
US S7B,R179920
US S7C,N151552074
US S7D,R9100918
US S7F,N151883554
US S7G,R187497
US S7H,R11052538
US S7I,N154335176
US S7K,R7539760
US S7N,R126719
US S7O,N151401363
US S7P,N154094376
US S7R,N141046927
US S7T,R141548
US S7V,R112396
US S7Y,N158399329
US S88,N158823169
US S89,R128843
US S8A,R305379
US S8B,R12194307
US S8D,N158514087
US S8E,N154101861
US S8F,N158463061
US S8H,R188667
US S8I,R112269
US S8J,R171224
US S8K,R198767
US S8L,R6586530
US S8P,R169677
US S8R,R130016
US S8S,R182476
US S8T,R3284837
US S8U,R12181042
US S8V,R188249
US S8W,R127435
US S8X,R175573
US S98,N153427031
US S99,R176832
US S9A,R3669585
US S9B,R12827881
US S9C,R131692
US S9D,R194905
US S9E,N151846267
US S9F,R4833546
US S9G,R11052646
US S9H,R115402
US S9I,R4753303
US S9K,R11162256
US S9L,R169608
US S9N,N157585148
US S9O,R238653
US S9P,N153924166
US S9R,R132129
US S9T,R129750
US S9U,R8364457
US S9V,N157571459
US S9W,R242362
US S9Y,N154101788
US SA2,R6603671
US SA3,R240024
US SA4,N151652419
US SA5,N151789456
US SA6,R193823
US SA7,N150952769
US SA8,R141037
US SA9,N150967074
US SAA,R252276
US SAB,N151374143
US SAC,R6232940
US SAD,R6835385
US SAE,R182688
US SAF,R171264
US SAG,N150918488
US SAH,R119825
US SAI,N153380111
US SAJ,R2310550
US SAK,R3704291
US SAL,R206638
US SAM,R2313083
US SAN,R253832
US SAO,R181660
US SAP,R206865
US SAQ,N150970921
US SAR,R125942
US SAS,N150966373
US SAT,R253556
US SAU,R122948
US SAV,R119867
US SAW,R170548
US SAX,N157602358
US SAY,R186622
US SAZ,N157587958
US SB2,R188408
US SB4,N8647751295
US SB5,N158860375
US SB6,R188943
US SB7,W607578219
US SB8,R8897010
US SB9,R129751
US SBA,R112224
US SBB,R182386
US SBC,R4033682
US SBE,R6016469
US SBF,R251942
US SBG,R182805
US SBH,R182029
US SBI,R182656
US SBJ,N158380241
US SBK,R170642
US SBL,R127025
US SBM,R251941
US SBN,R127646
US SBO,R199000
US SBP,R1216827
US SBQ,R170306
US SBR,R119956
US SBS,W750912164
US SBT,R253639
US SBV,R124732
US SBW,R9228296
US SBX,R142465
US SBY,R2056195
US SBZ,R114509
US SC2,R137707
US SC3,R242812
US SC4,N158612288
US SC5,R170303
US SC6,R127320
US SC7,R252275
US SC8,N154400438
US SC9,R136604
US SCA,R186788
US SCB,R169355
US SCC,N1774397379
US SCD,R180205
US SCE,R188627
US SCF,R179822
US SCG,R174500
US SCH,R175481
US SCI,N150974590
US SCK,R112382
US SCL,R134885
US SCM,W32976378
US SCN,R134825
US SCO,R142469
US SCP,N158569139
US SCQ,R140411
US SCR,R187541
US SCS,R182850
US SCT,R240023
US SCU,R2387532
US SCV,R130701
US SCW,N158801562
US SCX,R128878
US SCY,N150979181
US SCZ,R2221647
US SD2,R6587516
US SD3,R126246
US SD4,R6586528
US SD6,R126128
US SD7,N356709357
US SD8,R6586820
US SD9,R127410
US SDA,R112117
US SDB,N153442573
US SDC,R5170946
US SDD,W33005264
US SDE,R130672
US SDF,N154100371
US SDG,R187522
US SDH,R129294
US SDI,N154212221
US SDJ,R3301367
US SDK,R117175
US SDL,R134571
US SDM,N150968614
US SDN,R182718
US SDO,R206619
US SDP,W32974692
US SDQ,R184998
US SDS,R170933
US SDT,N158904837
US SDU,R6595949
US SDV,R7240527
US SDW,R135199
US SDX,R10693662
US SDY,R142477
US SDZ,R170695
US SE2,R125805
US SE3,R237811
US SE4,R130152
US SE5,R118892
US SE6,N157608906
US SE7,R125758
US SE9,N154128200
US SEA,R237385
US SEB,R182689
US SEC,N158366205
US SED,R128716
US SEE,R119591
US SEF,R117663
US SEG,R188441
US SEH,R134529
US SEI,R129104
US SEJ,R141214
US SEK,N158556617
US SEL,N150963008
US SEM,R170946
US SEN,R7158962
US SEO,R1560505
US SEP,R8062338
US SEQ,R176906
US SER,R127590
US SES,R2152348
US SET,R8059640
US SEU,R127250
US SEV,N157574730
US SEW,N150948403
US SEX,R132070
US SEY,R178989
US SEZ,R237380
US SF2,R130236
US SF3,R189026
US SF4,R187584
US SF5,R177233
US SF7,R137260
US SF8,R186746
US SF9,R242286
US SFA,R134602
US SFB,R117441
US SFD,R170547
US SFE,R117154
US SFF,R140645
US SFG,N158821146
US SFH,N158642431
US SFI,R170520
US SFJ,R135057
US SFK,N158556513
US SFL,W33005578
US SFM,R2021274
US SFN,R191206
US SFO,R111968
US SFP,R118896
US SFQ,R110249
US SFR,R3492346
US SFS,R9146320
US SFT,R189291
US SFU,R198904
US SFV,R132112
US SFW,R242830
US SFX,N158891444
US SFY,R1181618
US SFZ,R7686760
US SG3,R126059
US SG4,R12199965
US SG5,R129077
US SG6,R184261
US SG7,N151365372
US SG8,R3679625
US SG9,R13265132
US SGA,R3143405
US SGB,R128319
US SGC,R3529457
US SGD,R197342
US SGE,N158310423
US SGF,R141244
US SGG,R112118
US SGH,R182868
US SGI,R125734
US SGJ,R6571683
US SGK,R113767
US SGL,N151573013
US SGM,R134509
US SGN,R11059194
US SGO,R195965
US SGP,R6595945
US SGQ,R122981
US SGR,R6586823
US SGS,R194006
US SGT,R111270
US SGU,R198918
US SGV,R2669756
